Datetime,Open,High,Low,Close,Volume,Split
2023-05-21 00:00:00+00:00,27118.423828125,27118.423828125,27118.423828125,27118.423828125,0,1.0
2023-05-21 00:01:00+00:00,27126.896484375,27126.896484375,27126.896484375,27126.896484375,0,1.0
2023-05-21 00:02:00+00:00,27100.896484375,27100.896484375,27100.896484375,27100.896484375,0,1.0
2023-05-21 00:03:00+00:00,27103.40625,27103.40625,27103.40625,27103.40625,603648,1.0
2023-05-21 00:04:00+00:00,27102.9921875,27102.9921875,27102.9921875,27102.9921875,0,1.0
2023-05-21 00:05:00+00:00,27107.0703125,27107.0703125,27107.0703125,27107.0703125,0,1.0
2023-05-21 00:06:00+00:00,27099.521484375,27099.521484375,27099.521484375,27099.521484375,960512,1.0
2023-05-21 00:07:00+00:00,27103.30078125,27103.30078125,27103.30078125,27103.30078125,0,1.0
2023-05-21 00:08:00+00:00,27098.125,27098.125,27098.125,27098.125,1228800,1.0
2023-05-21 00:09:00+00:00,27095.123046875,27095.123046875,27095.123046875,27095.123046875,87040,1.0
2023-05-21 00:10:00+00:00,27095.21875,27095.21875,27095.21875,27095.21875,10729472,1.0
2023-05-21 00:11:00+00:00,27085.37890625,27085.37890625,27085.37890625,27085.37890625,1853440,1.0
2023-05-21 00:12:00+00:00,27082.890625,27082.890625,27082.890625,27082.890625,0,1.0
2023-05-21 00:13:00+00:00,27087.236328125,27087.236328125,27087.236328125,27087.236328125,2450944,1.0
2023-05-21 00:14:00+00:00,27089.005859375,27089.005859375,27089.005859375,27089.005859375,0,1.0
2023-05-21 00:15:00+00:00,27086.787109375,27086.787109375,27086.787109375,27086.787109375,0,1.0
2023-05-21 00:17:00+00:00,27074.017578125,27074.017578125,27074.017578125,27074.017578125,0,1.0
2023-05-21 00:18:00+00:00,27073.939453125,27073.939453125,27073.939453125,27073.939453125,0,1.0
2023-05-21 00:19:00+00:00,27080.109375,27080.109375,27080.109375,27080.109375,0,1.0
2023-05-21 00:20:00+00:00,27083.958984375,27083.958984375,27083.958984375,27083.958984375,0,1.0
2023-05-21 00:21:00+00:00,27087.177734375,27087.177734375,27087.177734375,27087.177734375,628224,1.0
2023-05-21 00:22:00+00:00,27089.03515625,27089.03515625,27089.03515625,27089.03515625,66048,1.0
2023-05-21 00:23:00+00:00,27087.91015625,27087.91015625,27087.91015625,27087.91015625,4312576,1.0
2023-05-21 00:24:00+00:00,27088.61328125,27088.61328125,27088.61328125,27088.61328125,0,1.0
2023-05-21 00:25:00+00:00,27089.70703125,27089.70703125,27089.70703125,27089.70703125,0,1.0
2023-05-21 00:26:00+00:00,27091.412109375,27091.412109375,27091.412109375,27091.412109375,0,1.0
2023-05-21 00:27:00+00:00,27095.693359375,27095.693359375,27095.693359375,27095.693359375,0,1.0
2023-05-21 00:28:00+00:00,27094.51171875,27094.51171875,27094.51171875,27094.51171875,0,1.0
2023-05-21 00:29:00+00:00,27091.955078125,27091.955078125,27091.955078125,27091.955078125,327680,1.0
2023-05-21 00:30:00+00:00,27091.865234375,27091.865234375,27091.865234375,27091.865234375,549888,1.0
2023-05-21 00:31:00+00:00,27090.8984375,27090.8984375,27090.8984375,27090.8984375,0,1.0
2023-05-21 00:32:00+00:00,27092.822265625,27092.822265625,27092.822265625,27092.822265625,0,1.0
2023-05-21 00:33:00+00:00,27093.787109375,27093.787109375,27093.787109375,27093.787109375,0,1.0
2023-05-21 00:34:00+00:00,27103.00390625,27103.00390625,27103.00390625,27103.00390625,2861056,1.0
2023-05-21 00:35:00+00:00,27101.529296875,27101.529296875,27101.529296875,27101.529296875,0,1.0
2023-05-21 00:36:00+00:00,27112.47265625,27112.47265625,27112.47265625,27112.47265625,0,1.0
2023-05-21 00:37:00+00:00,27114.794921875,27114.794921875,27114.794921875,27114.794921875,0,1.0
2023-05-21 00:38:00+00:00,27108.306640625,27108.306640625,27108.306640625,27108.306640625,0,1.0
2023-05-21 00:39:00+00:00,27107.150390625,27107.150390625,27107.150390625,27107.150390625,0,1.0
2023-05-21 00:40:00+00:00,27106.80078125,27106.80078125,27106.80078125,27106.80078125,1264128,1.0
2023-05-21 00:41:00+00:00,27107.423828125,27107.423828125,27107.423828125,27107.423828125,0,1.0
2023-05-21 00:42:00+00:00,27109.125,27109.125,27109.125,27109.125,0,1.0
2023-05-21 00:43:00+00:00,27118.244140625,27118.244140625,27118.244140625,27118.244140625,0,1.0
2023-05-21 00:44:00+00:00,27119.775390625,27119.775390625,27119.775390625,27119.775390625,1309696,1.0
2023-05-21 00:45:00+00:00,27121.392578125,27121.392578125,27121.392578125,27121.392578125,0,1.0
2023-05-21 00:46:00+00:00,27118.7109375,27118.7109375,27118.7109375,27118.7109375,1414144,1.0
2023-05-21 00:47:00+00:00,27128.68359375,27128.68359375,27128.68359375,27128.68359375,0,1.0
2023-05-21 00:48:00+00:00,27131.517578125,27131.517578125,27131.517578125,27131.517578125,0,1.0
2023-05-21 00:49:00+00:00,27141.8125,27141.8125,27141.8125,27141.8125,968704,1.0
2023-05-21 00:50:00+00:00,27252.310546875,27252.310546875,27252.310546875,27252.310546875,0,1.0
2023-05-21 00:52:00+00:00,27249.439453125,27249.439453125,27249.439453125,27249.439453125,69642752,1.0
2023-05-21 00:53:00+00:00,27248.28515625,27248.28515625,27248.28515625,27248.28515625,72446464,1.0
